,Sentiment
837,0
150,0
61,1
592,1
769,1
718,1
851,1
342,0
305,1
792,1
868,0
314,0
27,0
34,1
386,0
44,1
163,1
645,0
834,0
88,1
281,1
889,1
783,0
76,0
19,0
881,0
170,1
854,1
382,0
514,1
896,1
948,1
722,1
501,1
37,0
279,1
743,0
503,0
200,1
186,0
306,1
56,0
206,1
807,1
850,1
821,1
929,0
590,0
463,0
214,1
122,1
346,0
564,0
776,1
210,0
363,0
750,1
794,0
339,0
80,1
752,1
65,0
0,0
454,0
927,1
613,1
758,1
310,1
